Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval,Quartile Range,Suppression Flag
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Kentucky,Kentucky,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,19.2,12.3,27.8,12.3 - 27.8,19.0-23.5,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Louisiana,Louisiana,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,,,,,Estimate not reliable.,1.0
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Maine,Maine,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,24.0,16.2,33.4,16.2 - 33.4,23.6-27.7,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Maryland,Maryland,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,32.4,25.3,40.0,25.3 - 40.0,27.8-33.2,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Massachusetts,Massachusetts,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,27.1,22.3,32.4,22.3 - 32.4,23.6-27.7,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Michigan,Michigan,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,26.8,21.0,33.2,21.0 - 33.2,23.6-27.7,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Minnesota,Minnesota,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,29.8,22.8,37.6,22.8 - 37.6,27.8-33.2,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Mississippi,Mississippi,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,14.7,8.4,23.1,8.4 - 23.1,8.5-18.9,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Missouri,Missouri,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,18.9,13.5,25.4,13.5 - 25.4,8.5-18.9,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Montana,Montana,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,10.7,5.2,18.9,5.2 - 18.9,8.5-18.9,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Nebraska,Nebraska,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,17.7,12.7,23.8,12.7 - 23.8,8.5-18.9,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Nevada,Nevada,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,17.6,12.4,23.7,12.4 - 23.7,8.5-18.9,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,New Hampshire,New Hampshire,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,31.7,23.9,40.4,23.9 - 40.4,27.8-33.2,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,New Jersey,New Jersey,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,26.5,20.7,33.1,20.7 - 33.1,23.6-27.7,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,New Mexico,New Mexico,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,28.9,22.1,36.4,22.1 - 36.4,27.8-33.2,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,New York,New York,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,29.0,22.4,36.3,22.4 - 36.3,27.8-33.2,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,North Carolina,North Carolina,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,33.2,26.0,41.1,26.0 - 41.1,27.8-33.2,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,North Dakota,North Dakota,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,11.8,7.0,18.2,7.0 - 18.2,8.5-18.9,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Ohio,Ohio,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,20.7,15.5,26.6,15.5 - 26.6,19.0-23.5,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Oklahoma,Oklahoma,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,23.5,16.3,32.0,16.3 - 32.0,19.0-23.5,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Oregon,Oregon,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,19.1,14.9,23.9,14.9 - 23.9,19.0-23.5,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,28.0,22.1,34.5,22.1 - 34.5,27.8-33.2,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Rhode Island,Rhode Island,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,22.3,13.1,33.9,13.1 - 33.9,19.0-23.5,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,South Carolina,South Carolina,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,27.7,17.6,39.8,17.6 - 39.8,23.6-27.7,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,South Dakota,South Dakota,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,20.8,12.8,30.9,12.8 - 30.9,19.0-23.5,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Tennessee,Tennessee,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,19.4,13.9,26.0,13.9 - 26.0,19.0-23.5,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Texas,Texas,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,25.7,20.2,31.8,20.2 - 31.8,23.6-27.7,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Utah,Utah,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,18.4,14.4,22.9,14.4 - 22.9,8.5-18.9,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Vermont,Vermont,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,30.3,21.1,40.7,21.1 - 40.7,27.8-33.2,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Virginia,Virginia,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,23.6,18.8,29.0,18.8 - 29.0,23.6-27.7,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Washington,Washington,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,23.5,19.2,28.3,19.2 - 28.3,19.0-23.5,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,West Virginia,West Virginia,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,16.1,8.2,27.0,8.2 - 27.0,8.5-18.9,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Wisconsin,Wisconsin,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,11.2,7.8,15.5,7.8 - 15.5,8.5-18.9,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Wyoming,Wyoming,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,,,,,Estimate not reliable.,1.0
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",National Estimate,United States,United States,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,25.3,24.5,26.2,24.5 - 26.2,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Age,United States,18 - 29 years,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,20.0,18.0,22.2,18.0 - 22.2,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Age,United States,30 - 39 years,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,23.6,21.8,25.5,21.8 - 25.5,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Age,United States,40 - 49 years,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,24.9,23.5,26.3,23.5 - 26.3,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Age,United States,50 - 59 years,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,26.1,24.6,27.7,24.6 - 27.7,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Age,United States,60 - 69 years,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,27.6,26.2,29.1,26.2 - 29.1,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Age,United States,70 - 79 years,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,28.3,26.6,30.0,26.6 - 30.0,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Age,United States,80 years and above,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,32.2,28.1,36.7,28.1 - 36.7,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Sex,United States,Male,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,23.0,21.8,24.2,21.8 - 24.2,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Sex,United States,Female,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,27.5,26.7,28.3,26.7 - 28.3,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,27.4,25.2,29.8,25.2 - 29.8,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,23.7,23.0,24.5,23.0 - 24.5,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Age,United States,40 - 49 years,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,21.6,20.0,23.4,20.0 - 23.4,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,28.3,25.8,30.8,25.8 - 30.8,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,25.8,23.2,28.6,23.2 - 28.6,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,36.4,32.2,40.9,32.2 - 40.9,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Education,United States,Less than a high school diploma,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,26.6,22.3,31.3,22.3 - 31.3,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Education,United States,High school diploma or GED,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,22.8,21.0,24.7,21.0 - 24.7,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Education,United States,Some college/Associate's degree,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,27.0,26.0,28.0,26.0 - 28.0,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,25.8,25.0,26.6,25.0 - 26.6,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Disability status,United States,With disability,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,41.3,39.2,43.5,39.2 - 43.5,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Disability status,United States,Without disability,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,22.9,22.1,23.8,22.1 - 23.8,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Alabama,Alabama,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,20.5,16.1,25.5,16.1 - 25.5,14.6-20.5,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Alaska,Alaska,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,26.4,22.2,31.1,22.2 - 31.1,24.2-26.5,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Arizona,Arizona,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,29.5,26.3,32.8,26.3 - 32.8,26.6-34.2,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Arkansas,Arkansas,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,20.3,15.4,26.0,15.4 - 26.0,14.6-20.5,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,California,California,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,32.1,29.7,34.6,29.7 - 34.6,26.6-34.2,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Colorado,Colorado,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,25.2,22.3,28.3,22.3 - 28.3,24.2-26.5,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Connecticut,Connecticut,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,26.0,22.0,30.3,22.0 - 30.3,24.2-26.5,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Delaware,Delaware,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,32.2,27.3,37.4,27.3 - 37.4,26.6-34.2,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,District of Columbia,District of Columbia,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,31.7,25.7,38.3,25.7 - 38.3,26.6-34.2,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Florida,Florida,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,24.6,20.9,28.6,20.9 - 28.6,24.2-26.5,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Georgia,Georgia,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,22.1,18.7,25.7,18.7 - 25.7,20.6-24.1,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Hawaii,Hawaii,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,29.5,25.1,34.2,25.1 - 34.2,26.6-34.2,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Idaho,Idaho,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,17.7,13.9,21.9,13.9 - 21.9,14.6-20.5,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Illinois,Illinois,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,22.6,18.4,27.3,18.4 - 27.3,20.6-24.1,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Indiana,Indiana,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,19.5,16.7,22.4,16.7 - 22.4,14.6-20.5,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Iowa,Iowa,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,15.9,13.0,19.1,13.0 - 19.1,14.6-20.5,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Kansas,Kansas,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,20.7,16.7,25.1,16.7 - 25.1,20.6-24.1,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Kentucky,Kentucky,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,24.5,18.9,30.8,18.9 - 30.8,24.2-26.5,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Louisiana,Louisiana,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,23.2,17.7,29.4,17.7 - 29.4,20.6-24.1,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Maine,Maine,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,26.5,20.7,33.1,20.7 - 33.1,24.2-26.5,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Maryland,Maryland,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,34.2,30.0,38.6,30.0 - 38.6,26.6-34.2,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Massachusetts,Massachusetts,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,34.1,30.4,37.9,30.4 - 37.9,26.6-34.2,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Michigan,Michigan,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,23.5,20.7,26.4,20.7 - 26.4,20.6-24.1,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Minnesota,Minnesota,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,20.5,17.5,23.9,17.5 - 23.9,14.6-20.5,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Mississippi,Mississippi,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,25.1,19.4,31.5,19.4 - 31.5,24.2-26.5,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Missouri,Missouri,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,18.9,15.9,22.2,15.9 - 22.2,14.6-20.5,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Montana,Montana,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,19.5,15.0,24.6,15.0 - 24.6,14.6-20.5,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Nebraska,Nebraska,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,20.2,16.6,24.2,16.6 - 24.2,14.6-20.5,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Nevada,Nevada,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,23.9,20.7,27.3,20.7 - 27.3,20.6-24.1,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,New Hampshire,New Hampshire,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,25.0,21.2,29.2,21.2 - 29.2,24.2-26.5,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,New Jersey,New Jersey,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,24.5,21.1,28.1,21.1 - 28.1,24.2-26.5,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,New Mexico,New Mexico,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,29.4,25.1,34.0,25.1 - 34.0,26.6-34.2,
